QuestionId,ConstructId,ConstructName,SubjectId,SubjectName,CorrectAnswer,QuestionText,Construct_Subject
531,342,Identify multiples of a number,220,Multiples and Lowest Common Multiple,D,"If you list the multiples of \( 15 \) in ascending order, what is the \( 5^{\text {th }} \) number in the list?",Identify multiples of a number_Multiples and Lowest Common Multiple
532,3085,Can calculate missing coordinates in a geometric shape,406,Naming Co-ordinates in 2D,C,"Here are \( 3 \) vertices of a rectangle:
\((0,3),(4,-1),(2,-3),\)

What are the coordinates of the \( 4^{\text {th }} \) vertex?",Can calculate missing coordinates in a geometric shape_Naming Co-ordinates in 2D
533,1627,Multiply algebraic fractions where the numerators and denominators are all single terms,1079,Multiplying and Dividing Algebraic Fractions,A,"Write this as a single fraction as simply as possible:

\(
\frac{5}{x} \times \frac{2 y}{x^{2}}
\)",Multiply algebraic fractions where the numerators and denominators are all single terms_Multiplying and Dividing Algebraic Fractions
534,1448,Subtract two equations together to remove a variable ,63,Simultaneous Equations,D,"Isaac is trying to solve the pair of simultaneous equations on the right.

\[
6 g+h=12
\]
\[
6 g-3 h=-3
\]

He decides to subtract the bottom equation from the top equation.
What will he end up with?",Subtract two equations together to remove a variable _Simultaneous Equations
535,437,Subtract fractions involving mixed number fractions with different denominators,230,Adding and Subtracting Fractions,C,\( 3 \frac{4}{7}-1 \frac{3}{4}= \) Leave your answer as a mixed number,Subtract fractions involving mixed number fractions with different denominators_Adding and Subtracting Fractions
536,3340,Compare the lengths of diagonal line segments without calculating the exact length,406,Naming Co-ordinates in 2D,A,"Tom and Katie are arguing about distance and coordinates. 

Tom says \( (3,-2) \) and \( (2,-3) \) are equidistant from the origin. 
Katie says \( (4,1) \) and \( (7,-2) \) are equidistant from the origin. 

Who is correct?",Compare the lengths of diagonal line segments without calculating the exact length_Naming Co-ordinates in 2D
537,3215,Round numbers to an appropriate degree to estimate the answer to a calculation,216,Estimation,A,"Without working out the exact answer, use estimation to decide which of the following answer is the most likely to be correct \( 505 \div 198 \)",Round numbers to an appropriate degree to estimate the answer to a calculation_Estimation
538,2580,"Given the area of a square, calculate a missing dimension",86,Perimeter,D,"A shape is made up a square and regular pentagon.
The area of the square is \( 196 \mathrm{~cm}^{2} \).

What is the perimeter of the compound shape? ![A regular pentagon with a square joined along one edge]()","Given the area of a square, calculate a missing dimension_Perimeter"
539,2598,"Given the perimeter, work out a missing length requiring knowledge of the geometrical properties of the shape",197,Volume and Capacity Units,A,"A regular octagon has a total perimeter of \( 12 \mathrm{~cm} \).
What is the length of each of its sides?","Given the perimeter, work out a missing length requiring knowledge of the geometrical properties of the shape_Volume and Capacity Units"
540,849,Round the elements of a calculation to one significant figure to perform an estimation,216,Estimation,D,"Estimate the value of
\(
\frac{3.24 \times 17.6}{0.224}
\)",Round the elements of a calculation to one significant figure to perform an estimation_Estimation
541,419,Use inequality notation to order fractions whose denominators are not multiples of the same number ,228,Ordering Fractions,B,"What sign would make this statement true?
\(
\frac{5}{9} ? \frac{7}{12}
\)",Use inequality notation to order fractions whose denominators are not multiples of the same number _Ordering Fractions
542,1261,Recognise and name an expression,70,Writing Expressions,B,Which of the following is the most appropriate word to describe: \( 6-3 g \),Recognise and name an expression_Writing Expressions
543,2646,"Reflect an object or a point in a horizontal line with the line of reflection drawn, where the line of reflection lies on the edge or outside the object",92,Reflection,D,![Squared paper with a horizontal line of reflection and a triangle. The horizontal base of the triangle is two squares above the line of reflection.]() Tom and Katie are arguing about how to reflect the object in the line of reflection. Who reflects it correctly? ![Tom does this: his reflected triangle is sitting upright the same as the original object. The base is 3 squares below the line of reflection.]() ![Katie does this: her reflected triangle is upside down compared to the original object. The base of the reflected triangle is on the line of reflection.](),"Reflect an object or a point in a horizontal line with the line of reflection drawn, where the line of reflection lies on the edge or outside the object_Reflection"
544,3345,Identify or mark lines of symmetry on a shape,275,Line Symmetry,B,"![A rectangle divided into 3 equal horizontal sections. The middle section is white and the other 2 sections are blue. In the centre of the white section are five 5-pointed blue stars in the same formation as the 5 dots on a dice. All the stars are in exactly the same orientation, with one point pointing directly upwards.]() How many lines of symmetry does this shape have?",Identify or mark lines of symmetry on a shape_Line Symmetry
545,2211,Tell the time from a 24 hour digital clock with times after half past the hour,209,Time,D,Which clock shows ten to twelve at night?,Tell the time from a 24 hour digital clock with times after half past the hour_Time
546,2789,Interpret numbers in a frequency table,340,Averages and Range from Frequency Table,A,"Below is data from a Hockey team's matches over the course of a season, showing the number of goals scored. How many matches did the team play? ![\begin{tabular}{|c|c|}
\hline Goals scored & Frequency \\
\hline \( 0 \) & \( 6 \) \\
\hline \( 1 \) & \( 7 \) \\
\hline \( 2 \) & \( 4 \) \\
\hline \( 3 \) & \( 3 \) \\
\hline \( 4 \) & \( 1 \) \\
\hline
\end{tabular}]()",Interpret numbers in a frequency table_Averages and Range from Frequency Table
547,1430,Factorise a quadratic expression in the form x² + bx - c,53,Factorising into a Double Bracket,D,"If
\(
m^{2}+5 m-14 \equiv(m+a)(m+b)
\)
then \( a \times b= \)",Factorise a quadratic expression in the form x² + bx - c_Factorising into a Double Bracket
548,579,Express one quantity as a percentage of another mentally,233,Percentages of an Amount,C,What is \( 60 \mathrm{~m} \) as a percentage of \( 2 \mathrm{~km} \) ?,Express one quantity as a percentage of another mentally_Percentages of an Amount
549,703,Express pictorial representations of objects as a ratio,334,Writing Ratios,B,![A group of 8 squares and 5 circles]() What is the ratio of squares to circles?,Express pictorial representations of objects as a ratio_Writing Ratios
550,854,"Use the order of operations to carry out calculations involving addition, subtraction, multiplication, and/or division",33,BIDMAS,C,"Tom and Katie are discussing the order of operations
Tom says: \( 3+2-1 \equiv 3-1+2 \)
Katie says: \( 3+2 \times 1 \equiv 2 \times 1+3 \)","Use the order of operations to carry out calculations involving addition, subtraction, multiplication, and/or division_BIDMAS"
551,1738,Use a protractor to measure angles between 180° and 270°,180,Measuring Angles,D,"Jo and Paul are arguing about the size of the marked angle.
Jo says it is \( 120^{\circ} \)
Paul says it is \( 60^{\circ} \)
Who is correct? ![Angle with a protractor over it showing 240 degrees]()",Use a protractor to measure angles between 180° and 270°_Measuring Angles
552,1488,Solve quadratic equations using factorisation in the form (x + a)(x + b) ,65,Quadratic Equations,D,"One of these equations has exactly one solution.
Which is it?",Solve quadratic equations using factorisation in the form (x + a)(x + b) _Quadratic Equations
553,3218,Find missing numbers in a fraction multiplication,232,Dividing Fractions,B,"Barry has two fraction cards.
\( \frac{3}{7} \quad \square\)
The product of the cards is \( \frac{2}{5} \) What is the other card?",Find missing numbers in a fraction multiplication_Dividing Fractions
554,926,Work out the equation of a line with a negative gradient from an accurate drawing,261,Gradient as change in y over change in x,D,"If you were to write the equation of this line in the form \( \boldsymbol{y}=\boldsymbol{m} \boldsymbol{x}+\boldsymbol{c} \), what is the value of \( \boldsymbol{m} \) ? ![Graph showing straight line with y intercept (0,0) and x intercept (0,0). Also goes through the point (6,-4)]()",Work out the equation of a line with a negative gradient from an accurate drawing_Gradient as change in y over change in x
555,2580,"Given the area of a square, calculate a missing dimension",246,"Square Roots, Cube Roots, etc",A,A square has an area \( 36 \mathrm{~mm}^{2} \) What is the length of one side of the square?,"Given the area of a square, calculate a missing dimension_Square Roots, Cube Roots, etc"
556,1464,"Solve one-step linear equations requiring multiplication or division, with all positive integers",64,Linear Equations,C,"Isaac is solving an equation. This is the left-hand side of two lines of working from Isaac's book. Isaac always records what operation he has done to both sides of the equation.

What operation should replace the star? ![A diagram showing the change from the equations 9y = to y = represented by a gold star]()","Solve one-step linear equations requiring multiplication or division, with all positive integers_Linear Equations"
557,2849,Interpret a bar chart,106,Block Graphs and Bar Charts,D,"The bar chart shows the number of cups of tea and coffee sold in a café over \( 4 \) days.

How many cups of coffee were sold on Tuesday? ![A dual bar bar chart showing the number of cups of tea and coffee sold Monday to Thursday. The vertical scale showing the number of cups sold has 10 small boxes between 0 and 10.The bar for tea on Tuesday reaches 2 small boxes above 10. The bar for coffee on Tuesday reaches 5 small boxes above 40.]()",Interpret a bar chart_Block Graphs and Bar Charts
558,1612,Simplify an algebraic fraction by factorising the numerator,1077,Simplifying Algebraic Fractions,A,"Simplify the following, if possible: \( \frac{t^{2}+t-2}{t-1} \)",Simplify an algebraic fraction by factorising the numerator_Simplifying Algebraic Fractions
559,3207,"Understand the terms equilateral and regular, and recognise the notation for regular polygons",84,Properties of Polygons,A,An equilateral shape must have...,"Understand the terms equilateral and regular, and recognise the notation for regular polygons_Properties of Polygons"
560,700,"Given information about one part, work out other parts",241,Sharing in a Ratio,D,"Jess and Heena share some sweets in the ratio \( 3\;: 5 \).
Jess gets \( 15 \) sweets.
How many sweets does Heena get?","Given information about one part, work out other parts_Sharing in a Ratio"
561,1320,Identify vertical translations in the form f(x) = for non-trigonometric functions,164,Transformations of functions in the form f(x),A,"What transformation maps the graph of
\(y=f(x)\)
to the graph of
\(y=f(x)+1\)",Identify vertical translations in the form f(x) = for non-trigonometric functions_Transformations of functions in the form f(x)
562,886,"Given an exchange rate x = ny, convert to work out the number of x’s for a given y",243,Direct Proportion,D,"\begin{tabular}{|l|}
\hline Exchange rates \\
\\
\( £ 1=€ 1.17 \) \\
\( £ 1=\$ 1.31 \)
\end{tabular} How much is \( \$ 5 \) worth in pounds ( \( £ \) )?","Given an exchange rate x = ny, convert to work out the number of x’s for a given y_Direct Proportion"
563,1522,Rearrange formulae to change the subject where the subject appears once and two steps are needed,60,Rearranging Formula and Equations,A,"Rearrange the following equation to make \( r \) the subject
\[
p=3 r-5
\]",Rearrange formulae to change the subject where the subject appears once and two steps are needed_Rearranging Formula and Equations
564,1403,Multiply a single term over a bracket where the term on the outside is a number and the inside contains a linear expression,50,Expanding Single Brackets,C,Multiply out the brackets: \( -5(m-7) \),Multiply a single term over a bracket where the term on the outside is a number and the inside contains a linear expression_Expanding Single Brackets
565,513,Raise an integer to a positive non-unit fraction power,247,Laws of Indices,A,\( (16)^{\frac{5}{2}}=? \),Raise an integer to a positive non-unit fraction power_Laws of Indices
566,1523,Rearrange formulae to change the subject where the subject appears once and three or more steps are needed,60,Rearranging Formula and Equations,A,"Tom and Katie are discussing rearranging \( p=\sqrt{5-q} \) to make \( q \) the subject Tom says a correct first line of working could be: \( p^{2}=5-q \) Katie says a correct first line of working could be: \( p+\sqrt{q}=\sqrt{5} \)
Who is correct?",Rearrange formulae to change the subject where the subject appears once and three or more steps are needed_Rearranging Formula and Equations
567,1277,Multiply an integer and an algebraic term ,51,Expanding Double Brackets,B,"James is expanding these two brackets.

What should he get when he multiplies the two terms indicated by the arrows? ![The brackets shown are (x-8)(x-2). The arrows are pointing at the x in the first bracket and the -2 in the second bracket.]()",Multiply an integer and an algebraic term _Expanding Double Brackets
568,400,Calculate unit fractions of an amount,225,Fractions of an Amount,B,\( \frac{1}{7} \) of \( 56= \),Calculate unit fractions of an amount_Fractions of an Amount
569,1758,Find missing angles on parallel lines using corresponding angles,182,Angle Facts with Parallel Lines,A,"Calculate the missing angle: ![Two vertical lines marked with arrows are crossed by one diagonal line. Two angles are marked; they are both on the upper side of the diagonal line and to the right of the vertical lines. One is marked '70', the other '?'. ]()",Find missing angles on parallel lines using corresponding angles_Angle Facts with Parallel Lines
570,3030,Use the prime factor decomposition of a number to calculate the number,219,Factors and Highest Common Factor,B,"What number should replace \(\color{gold}\bigstar \) in the Venn diagram? ![A Venn diagram with two circles. The left hand one is labelled 'prime factors of \star\', the right hand circle is labelled 'prime factors of 60'. In the left hand circle, there is an 11, in the overlap there is a 2 and a 3, and in the right hand circle there is a 2 and a heart. ]()",Use the prime factor decomposition of a number to calculate the number_Factors and Highest Common Factor
571,210,"Round integers to the nearest other integer value (e.g. 20, 50 etc)",213,"Rounding to the Nearest Whole (10, 100, etc)",C,What is \( 646 \) rounded to the nearest \( 20 \) ?,"Round integers to the nearest other integer value (e.g. 20, 50 etc)_Rounding to the Nearest Whole (10, 100, etc)"
572,210,"Round integers to the nearest other integer value (e.g. 20, 50 etc)",213,"Rounding to the Nearest Whole (10, 100, etc)",A,What is \( 623 \) rounded to the nearest \( 50 \) ?,"Round integers to the nearest other integer value (e.g. 20, 50 etc)_Rounding to the Nearest Whole (10, 100, etc)"
573,963,Identify perpendicular lines written in any other form,263,Perpendicular Lines,A,"Which of the following lines is perpendicular to
\(y=5 \text { ? }\)",Identify perpendicular lines written in any other form_Perpendicular Lines
574,2456,Identify the net of a non-prism,85,Nets,A,Which diagram is the net for a square based pyramid?,Identify the net of a non-prism_Nets
575,433,Subtract proper fractions with different denominators where one is a multiple of the other,230,Adding and Subtracting Fractions,D,"\(
\frac{3}{4}-\frac{1}{12}=\frac{2}{\bigstar}
\)

What should replace the star?",Subtract proper fractions with different denominators where one is a multiple of the other_Adding and Subtracting Fractions
576,217,Round numbers to one decimal place,214,Rounding to Decimal Places,D,"\[
34590.8549
\]
What is this number rounded to \( 1 \) decimal place?",Round numbers to one decimal place_Rounding to Decimal Places
577,328,Identify rational and irrational numbers,1082,Recurring Decimals to Fractions,D,"Which of these two numbers are rational?
\(
\pi \text { and } \frac{1}{\pi}
\)",Identify rational and irrational numbers_Recurring Decimals to Fractions
578,1428,Factorise a quadratic expression in the form x² + bx + c,53,Factorising into a Double Bracket,D,"Factorise this expression, if possible:
\(
p^{2}+2 p+3
\)",Factorise a quadratic expression in the form x² + bx + c_Factorising into a Double Bracket
579,968,Interpret the graphical solution to a pair of linear simultaneous equations from a diagram,264,Graphical Solution of Simultaneous Equations,C,"The cost of journeys from two taxi companies is shown on the diagram.

After how many miles is Company P more expensive than Company Q? ![A graph showing Cost (£) on the y axis and Distance (miles) on the x axis. Y axis from 0 to 30, each square goes up by 5,  and x axis from 0 to 6, each square goes up by 1. A blue line slopes upwards from left to right, from (0, 10). It is labelled 'Company Q'. A red line slopes upwards from left to right, from (0,0). It is labelled 'Company P'. Both lines go through (5, 20)]()",Interpret the graphical solution to a pair of linear simultaneous equations from a diagram_Graphical Solution of Simultaneous Equations
580,3316,Recognise and use efficient methods for mental multiplication,204,Mental Multiplication and Division,C,"Tom and Katie are discussing ways to calculate \( 59 \times 4 \) mentally
Tom doubles \( 59 \) and then doubles the answer
Katie does \( 60 \times 4 \) and then subtracts \( 4 \) from the answer
Who would get the correct answer?",Recognise and use efficient methods for mental multiplication_Mental Multiplication and Division
581,471,Recognise cube numbers,173,Other Sequences,C,"\[
1,8,27,64, \ldots
\]

What is the name given to this sequence of numbers?",Recognise cube numbers_Other Sequences
582,1440,Complete the square for expressions that end up in the form a(x + b)² + c,256,Completing the Square,A,"When Aaron completes the square, what should replace the triangle?
\(
3 g^{2}-18 g-7 \equiv 3(g-3)^{2} \triangle
\)",Complete the square for expressions that end up in the form a(x + b)² + c_Completing the Square
583,2031,Convert between m and mm,195,Length Units,A,\( 4 m \) is the same as ___ \( mm \),Convert between m and mm_Length Units
584,2609,Calculate missing lengths of shapes by counting squares,86,Perimeter,B,"John is labelling the lengths of the sides of this shape. ![A hexagon with one side, length 3 squares, labelled 6cm. The side labelled with the gold star is 1 square in length.]() What should replace the star?",Calculate missing lengths of shapes by counting squares_Perimeter
585,1453,Solve linear simultaneous equations requiring a scaling of one expression,63,Simultaneous Equations,A,"What is a correct solution for the following pair of simultaneous equations:
\[4x+y=7\]
\[3x+2y=4\]",Solve linear simultaneous equations requiring a scaling of one expression_Simultaneous Equations
586,722,Write a surd in the form √a in a simplified form,248,Simplifying Surds,C,Simplify \( \sqrt{48} \) as much as possible,Write a surd in the form √a in a simplified form_Simplifying Surds
587,854,"Use the order of operations to carry out calculations involving addition, subtraction, multiplication, and/or division",33,BIDMAS,D,"Problem P: \( 6 \div 3+5= \)
Problem Q: \( 6 \div 3 \times 5= \)

Which calculation should you do first in each problem?","Use the order of operations to carry out calculations involving addition, subtraction, multiplication, and/or division_BIDMAS"
588,3144,Change decimals of hours into minutes,209,Time,A,\( 0.2 \) hours \( = _______ \) minutes,Change decimals of hours into minutes_Time
589,1795,Use facts about interior angles in polygons with algebra to write expressions,183,Angles in Polygons,A,"What is the size of angle \( s \) ? ![4 angles on an irregular quadrilateral these are labelled s, 2s, 2s, and 3s]()",Use facts about interior angles in polygons with algebra to write expressions_Angles in Polygons
590,3339,Identify mathematical instruments and their functions,190,Construct Angle,B,What is the name of the mathematical instrument used to construct circles?,Identify mathematical instruments and their functions_Construct Angle
591,2282,Calculate the surface area of a cuboid where the dimensions are given in the same units,188,Surface Area of Prisms,A,Which calculation would give you the area of the face of this cuboid labelled \( Q \) ('the top')? ![A cuboid with dimensions 6cm by 3cm by 4 cm. The top face Q is marked. It is a rectangle with dimensions 6cm by 3cm.](),Calculate the surface area of a cuboid where the dimensions are given in the same units_Surface Area of Prisms
592,1738,Use a protractor to measure angles between 180° and 270°,180,Measuring Angles,D,"What is the size of the marked angle? ![A 360 degree protractor with 2 red lines and a pink sector marking out an angle being measured by the protractor. The outer scale goes from 0 to 360, clockwise. The angle is a reflex angle that is between the red line that is at 0 (outer scale) and 180 (inner scale) on the protractor and goes clockwise round to the red line that is half way between 200 and 210 (outer scale) and halfway between 340 and 330 (inner scale).]()",Use a protractor to measure angles between 180° and 270°_Measuring Angles
593,2648,"Reflect an object or a point in a diagonal line with the line of reflection drawn, where the line of reflection lies on the edge or outside the object",92,Reflection,A,"The triangle is reflected in the dashed line
What are the new coordinates of point \( \mathrm{P} \) ? ![Four quadrant, coordinate grid with the reflection line y=-x drawn and a triangle. The triangle has coordinates: (-2,3) (-2,6) and (0,5). The point P is the coordinate (0,5)]()","Reflect an object or a point in a diagonal line with the line of reflection drawn, where the line of reflection lies on the edge or outside the object_Reflection"
594,172,Add integers up to 4 digits using a written method where carrying is needed,205,Written Addition,D,"What number should replace the star? \begin{tabular}{|c|c|c|c|c|}
\hline & \( 4 \) & \( 2 \) & \(5\) & \(4\)\\
\hline+ & \( 2 \) & \(\bigstar\)  & \(7\) & \(1\) \\
\hline \(\space\) & \(6\) & \(3\) & \(2\) & \(5\)
\end{tabular}",Add integers up to 4 digits using a written method where carrying is needed_Written Addition
595,575,Calculate percentage of an amount mentally where the percent is a multiple of 10,233,Percentages of an Amount,D,Find \( 20 \% \) of \( 80 \),Calculate percentage of an amount mentally where the percent is a multiple of 10_Percentages of an Amount
596,1614,Simplify an algebraic fraction by factorising both the numerator and denominator,1077,Simplifying Algebraic Fractions,B,Write the following as simply as possible: \( \frac{q^{2}+q-12}{q^{2}-2 q-3} \),Simplify an algebraic fraction by factorising both the numerator and denominator_Simplifying Algebraic Fractions
597,446,Divide proper fractions in the form: Fraction ÷ Integer,232,Dividing Fractions,B,"Calculate
\(
\frac{1}{6} \div 3
\)",Divide proper fractions in the form: Fraction ÷ Integer_Dividing Fractions
598,381,Convert decimals less than 1 with 2 decimal place to percentages,239,Converting between Decimals and Percentages,D,Write \( 0.15 \) as a percentage.,Convert decimals less than 1 with 2 decimal place to percentages_Converting between Decimals and Percentages
599,1030,Represent a linear inequality with a single tail on a numberline,165,Inequalities on Number Lines,B,"Which inequality is represented by the diagram? ![A number line with a filled in circle above 1with an arrow coming out of it over the numbers 2, 3, 4, 5 etc.]()",Represent a linear inequality with a single tail on a numberline_Inequalities on Number Lines
600,1442,"Solve basic introduction simultaneous equation problems, often involving shapes and symbols",63,Simultaneous Equations,C,"Chris orders \( 2 \) cups of tea and a cake, and his bill comes to £1.40

Amy orders \( 4 \) cups of tea and a cake, and her bill comes to £2.20.

How much does one cup of tea cost?","Solve basic introduction simultaneous equation problems, often involving shapes and symbols_Simultaneous Equations"
601,3040,Identify a diameter,184,Parts of a Circle,B,"The straight line across this circle is called a ....? ![A circle with a line across from edge to edge, passing through the centre]()",Identify a diameter_Parts of a Circle
602,401,Calculate non-unit fractions of an amount,225,Fractions of an Amount,D,\( \frac{3}{5} \) of \( 30= \),Calculate non-unit fractions of an amount_Fractions of an Amount
603,2789,Interpret numbers in a frequency table,340,Averages and Range from Frequency Table,D,"Bob recorded the number of cars he sold in one week.
How many cars did he sell altogether? \begin{tabular}{|c|c|}
\hline Colour & Frequency \\
\hline Blue & \( 3 \) \\
\hline Black & \( 2 \) \\
\hline Silver & \( 4 \) \\
\hline Red & \( 1 \) \\
\hline Other & \( 3 \) \\
\hline
\end{tabular}",Interpret numbers in a frequency table_Averages and Range from Frequency Table
604,312,Multiply two decimals together with the same number of decimal places,224,Multiplying and Dividing with Decimals,D,\( 0.4^{2}= \),Multiply two decimals together with the same number of decimal places_Multiplying and Dividing with Decimals
605,2849,Interpret a bar chart,106,Block Graphs and Bar Charts,B,"The bar chart shows the drinks sold in Caroline's Café on Monday and Tuesday last week.

Approximately how many Teas were sold on Tuesday? ![Composite bar chart with four bars, labelled Tea, Coffee, Hot Choc and Cans. Each bar has two sections, the lower one shows how many sold on Monday and the upper one showing Tuesdays sales. The vertical scale has 5 ticks between 0 and 50, 50 and 100 etc.
The Teas bar lower section is 1 tick below 50 on the vertical scale, and the whole bar's height is 2 ticks above 100 on the vertical scale.
]()",Interpret a bar chart_Block Graphs and Bar Charts
606,476,Recognise square roots,246,"Square Roots, Cube Roots, etc",B,Which of the following is the square root of \( 81 \) ?,"Recognise square roots_Square Roots, Cube Roots, etc"
607,575,Calculate percentage of an amount mentally where the percent is a multiple of 10,233,Percentages of an Amount,B,"Tom and Katie are arguing about working out percentages of amounts.

Tom says to find \( 40 \% \) you divide by \( 100 \) and multiply by \( 4 \). 
Katie says to find \( 40 \% \) you divide by \( 5 \) and multiply by \( 2 \).
Who is correct?",Calculate percentage of an amount mentally where the percent is a multiple of 10_Percentages of an Amount
608,1214,Recognise a Fibonacci sequence,173,Other Sequences,C,"Tom and Katie are discussing Fibonacci sequences.

Tom says this is a Fibonacci sequence: \( 1,1,2,3,5,8, \ldots \)

Katie says this is a Fibonacci sequence: \( 1,2,3,5,8,13, \ldots \)

Who is correct?",Recognise a Fibonacci sequence_Other Sequences
609,2239,Convert between any other time periods,209,Time,D,To work out how many hours in a year you could do...,Convert between any other time periods_Time
610,1490,Solve quadratic equations using completing the square in the form (x + q)² + r ,65,Quadratic Equations,A,"One of these equations has no real solutions
Which is it?",Solve quadratic equations using completing the square in the form (x + q)² + r _Quadratic Equations
611,440,Multiply proper fractions in the form: Fraction × Integer,231,Multiplying Fractions,A,\( \frac{2}{7} \times 3=3 \div K \times L \),Multiply proper fractions in the form: Fraction × Integer_Multiplying Fractions
612,312,Multiply two decimals together with the same number of decimal places,224,Multiplying and Dividing with Decimals,B,What should replace the star? \( \bigstar \div 0.3=1.5 \),Multiply two decimals together with the same number of decimal places_Multiplying and Dividing with Decimals
613,704,Represent written scenarios as ratios,334,Writing Ratios,D,"For every \( 2 \) marbles Karen has, Marty has \( 3 \).
Write the number of marbles Karen and Marty have as a ratio, with Karen's part first.",Represent written scenarios as ratios_Writing Ratios
614,3141,Solve quadratic inequalities from the graph of the quadratic,1984,Quadratic inequalities on Number Lines,B,Use the graph to approximate the solution to \( x^{2}<5 \) ![A set of axes with the quadratic graph y=x^2 drawn on.](),Solve quadratic inequalities from the graph of the quadratic_Quadratic inequalities on Number Lines
615,699,"Given information about one part, work out the whole",241,Sharing in a Ratio,C,"The ratio of cars to vans in a car park is \( 5: 3 \)

If there are \( 80 \) cars, how many vehicles (cars and vans) are there in total?","Given information about one part, work out the whole_Sharing in a Ratio"
616,1137,Use a linear sequence expressed as a pattern to make a prediction about another term in the sequence other than the next one,171,Linear Sequences (nth term),D,"Without drawing any more terms, how many circles do you predict will be in the \( 5 \) th term of this sequence? ![A diagram showing the first 3 patterns in a sequence. Pattern 1 is a rectangle with a total of 6 circles surrounding it. Pattern 2 is 2 rectangles with a total of 10 circles surrounding it. Pattern 3 is 3 rectangles with a total of 14 circles surrounding it.]()",Use a linear sequence expressed as a pattern to make a prediction about another term in the sequence other than the next one_Linear Sequences (nth term)
617,399,Identify non-unit fractions when part of a shape,232,Dividing Fractions,D,"What should replace the question mark? ![A bar split into 8 equal parts. 3 of the parts are shaded, and the total length of these 3 parts is labelled 3/4. The total length of 6 parts is labelled with a question mark.]()",Identify non-unit fractions when part of a shape_Dividing Fractions
618,373,Convert fractions to percentages containing 1 decimal place,238,Converting between Fractions and Percentages,A,What is \( \frac{13}{40} \) written as a percentage?,Convert fractions to percentages containing 1 decimal place_Converting between Fractions and Percentages
619,336,Recognise when to find a factor to solve a problem,219,Factors and Highest Common Factor,D,"A Zumba teacher wants to split her group of \( 60 \) clients into equal sized classes.
To do this she needs to know the _________ of \( 60 \)
Which word best fills in the gap?",Recognise when to find a factor to solve a problem_Factors and Highest Common Factor
620,2650,"Reflect an object or a point in a vertical line with the line of reflection given as an equation, where the line of reflection lies on the edge or outside the object",92,Reflection,D,This triangle is reflected in the line \( x= \) 4. What will the coordinate of the point marked \( \mathrm{C} \) on the reflected shape be? ![A positive quadrant graph showing a triangle ABC plotted](),"Reflect an object or a point in a vertical line with the line of reflection given as an equation, where the line of reflection lies on the edge or outside the object_Reflection"
621,2253,Solve problems involving adding a period of time on to a given start time,209,Time,D,"A coach takes \( 3 \) hours \( 50 \) minutes to complete a journey from Manchester to London.

If the coach leaves Manchester at 09:25, what time does it arrive in London?",Solve problems involving adding a period of time on to a given start time_Time
622,441,Multiply proper fractions in the form: Fraction × Fraction,231,Multiplying Fractions,D,Which calculation gives the fraction that replaces the question mark? ![A horizontal bar divided into 4 equal sections with vertical lines. The left hand section of these is coloured green and is further divided into 3 equal sections with vertical dotted lines. A curly bracket shows that the width of one of these green sections is denoted by a question mark.](),Multiply proper fractions in the form: Fraction × Fraction_Multiplying Fractions
623,3174,For a given input find the output of a function machine,649,Function Machines,C,"Cally wants to use the function machine below to solve this problem:

I think of a number, subtract 2, triple it, and the answer is \( 12 \).

Which of the following should replace the star? ![A function machine with the input box blank. The first function box blank. The second function box has a purple star in and the output box is blank.]()",For a given input find the output of a function machine_Function Machines
624,3211,Complete missing number mental addition problems with numbers over 1000,203,Mental Addition and Subtraction,B,"A \( 3 \) digit number belongs in this box to make the calculation true
\(
467+\square=1253
\)
What is the \( 3^{\text {rd }} \) digit of the number that belongs in the box?",Complete missing number mental addition problems with numbers over 1000_Mental Addition and Subtraction
625,375,Convert single digit integer percentages to fractions,238,Converting between Fractions and Percentages,C,\( 4 \% \) as a fraction is....,Convert single digit integer percentages to fractions_Converting between Fractions and Percentages
626,2580,"Given the area of a square, calculate a missing dimension",86,Perimeter,B,"A shape is made up a square and regular pentagon.
The area of the square is \( 144 \mathrm{~cm}^{2} \).

What is the perimeter of the compound shape? ![Pentagon and square joined along one edge]()","Given the area of a square, calculate a missing dimension_Perimeter"
627,1531,Substitute negative non-integer values into expressions involving no powers or roots,67,Substitution into Formula,C,"What is the value of
\( a b \)
when \( a=9 \) and \( b=-0.5 \) ?",Substitute negative non-integer values into expressions involving no powers or roots_Substitution into Formula
628,403,"Calculate the whole amount, given a fraction of the amount",225,Fractions of an Amount,D,"Here is a number card

 \( \frac{1}{3} \) of \( \mathrm{A} \) is \( 12 \)

 What is \( \frac{1}{2} \) of \( A \) ?
 ![\( A \)]()","Calculate the whole amount, given a fraction of the amount_Fractions of an Amount"
629,3319,"Solve problems involving converting between fractions, decimals and percentages",238,Converting between Fractions and Percentages,A,"Tom and Katie are arguing about percentages.
Tom says \( 45 \%>0.059 \)
Katie says \( 45 \%>\frac{16}{31} \)
Who is correct?","Solve problems involving converting between fractions, decimals and percentages_Converting between Fractions and Percentages"
630,2576,Calculate the area of an isosceles triangle where the dimensions are given in the same units,75,Area of Simple Shapes,C,What is the area of the triangle? ![Triangle with base the square root of 144 cm and height 6cm.](),Calculate the area of an isosceles triangle where the dimensions are given in the same units_Area of Simple Shapes
